Wsp. x,Wsp. y1,Wsp. y2
0,0,0
0,0,0
43,0,0
71,0,0
104,0,0
137,0,0
164,0,0
196,0,0
230,0,0
262,0,0
288,0,0
325,0,0
351,0,0
385,0,0
414,0,0
444,0,0
473,0,0
509,0,0
538,0,0
567,0,0
596,0,0
630,0,0
657,0,0
694,0,0
719,0,0
748,0,0
778,0,0
816,0,0
842,0,0
875,0,0
906,0,0
939,0,0
969,0,0
1005,0,0
1031,0,0
1062,0,0
1094,0,0
1130,0,0
1151,0,0
1184,0,0
1215,0,0
1246,0,0
1278,0,0
1307,0,0
1342,0,0
1376,0,0
1403,0,0
1434,0,0
1466,0,0
1496,0,0
1526,0,0
1573,0,0
1601,0,0
1624,0,0
1666,0,0
1693,0,0
1730,0,0
1755,0,0
1789,0,0
1821,0,0
1850,0,0
1879,0,0
1913,0,0
1940,0,0
1975,0,0
2000,0,0
2035,0,0
2063,0,0
2099,0,0
2125,0,0
2162,0,0
2186,0,0
2223,0,0
2249,0,0
2284,0,0
2312,0,0
2347,0,0
2374,0,0
2409,0,0
2434,0,0
2474,0,0
2498,0,0
2537,0,0
2562,0,0
2594,0,0
2624,0,0
2656,0,0
2686,0,0
2721,0,0
2749,0,0
2784,0,0
2810,0,0
2845,0,0
2872,0,0
2910,0,0
2933,0,0
2969,0,0
2995,0,0
3033,0,0
3059,0,0
3109,0,0
3135,0,0
3170,0,0
3196,0,0
3213,0,0
3262,0,0
3291,0,0
3326,0,0
3339,0,0
3371,0,0
3400,0,0
3451,0,0
3480,0,0
3514,0,0
3527,0,0
3558,0,0
3604,0,0
3636,0,0
3668,0,0
3699,0,0
3746,0,0
3775,0,0
3806,0,0
3834,0,0
3870,0,0
3896,0,0
3935,0,0
3959,0,0
3996,0,0
4020,0,0
4054,0,0
4074,0,0
4119,0,0
4146,0,0
4180,0,0
4207,0,0
4245,0,0
4272,0,0
4307,0,0
4333,0,0
4368,0,0
4400,0,0
4427,0,0
4459,0,0
4493,0,0
4521,0,0
4557,0,0
4583,0,0
4621,0,0
4648,0,0
4685,0,0
4709,0,0
4745,0,0
4772,0,0
4810,0,0
4835,0,0
4873,0,0
4899,0,0
4933,0,0
4959,0,0
